"","Date","Experiment.Week","Location","Plant.Number","Pair","Size","Start.Time","End.Time","Avg.open.flowers.per.inflorescence","Total.inflorescenses","Total.Flowers","Honeybees","Volume","Sugar_conc","Sugar_content","Volume_var","Sugar_conc_var","Sugar_content_var","Temperature","Humidity","Wind","Speed","Gust","Pressure","Solar","Clustered","East","hotDay","visits"
"1","5/17/2017","1","Pair 1 Large","1","1","Large","2017-05-17 11:08:00","2017-05-17 11:23:00",1.82736927305383,1.91381385238372,3.74118312543754,1.14612803567824,0.183269843682805,-0.408806132543706,-0.201565174507442,-0.335255220683919,-2.10192407905218,-0.909894531493152,1.74973631556906,"75%","NNW",-1,"5.1mph","29.98in",2.0769133845918,FALSE,TRUE,FALSE,TRUE
"2","5/17/2017","1","Pair 1 Small","1","1","Small","2017-05-17 11:32:00","2017-05-17 11:47:00",1.66086547800387,1.51851393987789,3.17937941788176,0.301029995663981,0.30776337832295,-0.360146810415443,-0.0846166556264063,-0.233114879028189,-1.88681612981369,-2.19291310094782,1.75204844781944,"74%","SSW",-1,"3.4mph","29.98in",2.09034624350567,FALSE,TRUE,FALSE,FALSE
"3","5/17/2017","1","Pair 2 Large","1","2","Large","2017-05-17 11:39:00","2017-05-17 11:49:00",1.75587485567249,1.27875360095283,3.03462845662532,0.778151250383644,0.153814864344529,-0.147676459983812,-0.0104945641630454,-0.144130809006041,-1.61906585265007,-0.683878310538326,1.74896286125616,"74%","NNW",0,"6.8mph","29.98in",2.02887612773623,TRUE,TRUE,FALSE,TRUE
"4","5/17/2017","1","Pair 2 Small","1","2","Small","2017-05-17 11:17:00","2017-05-17 11:27:00",1.73239375982297,1,2.73239375982297,0,0.32990612340021,-0.291184807715939,0.0313579619570265,-0.405210494758232,-2.18403224336031,-1.00059913722495,1.74973631556906,"75%","NNW",-1,"5.1mph","29.98in",2.0769133845918,TRUE,TRUE,FALSE,FALSE
"5","5/17/2017","1","Pair 3 Large","1","3","Large","2017-05-17 11:36:00","2017-05-17 11:51:00",1.79934054945358,1.51851393987789,3.31785448933147,0.698970004336019,0.0881360887005513,-0.250263684430939,-0.180373819503449,0.0729159055161856,-2.13548891894161,-0.511226156822312,1.75204844781944,"74%","SSW",-1,"3.4mph","29.98in",2.09034624350567,FALSE,FALSE,FALSE,TRUE
"6","5/17/2017","1","Pair 3 Small","1","3","Small","2017-05-17 10:59:00","2017-05-17 11:14:00",1.52633927738984,1.04139268515823,2.56773196254807,0,0.250724877352585,-0.214670164989233,0.0599300658604894,0.275707165439663,-1.91364016932525,0.0558843246188482,1.7481880270062,"76%","West",-1,"5.1mph","29.98in",2.16323593837009,FALSE,FALSE,FALSE,FALSE
"7","5/17/2017","1","Pair 4 Large","1","4","Large","2017-05-17 12:30:00","2017-05-17 12:45:00",1.72427586960079,1.60205999132796,3.32633586092875,0.301029995663981,0.176091259055681,-0.281221602310429,-0.151041539172505,-0.0262229227369812,-1.72970944683324,-0.915753365843369,1.73399928653839,"81%","WNW",0.255272505103306,"11.1mph","30.03in",-0.204119982655925,TRUE,FALSE,FALSE,FALSE
"8","5/17/2017","1","Pair 4 Small","1","4","Small","2017-05-17 12:03:00","2017-05-17 12:18:00",1.15381486434453,0.602059991327962,1.75587485567249,0,-0.0737862141609187,-0.263603497723358,-0.343183361955831,-0.481383256362157,-3.34678748622466,-1.05971703602474,1.73399928653839,"79%","WNW",0.255272505103306,"6.8mph","30.03in",-0.204119982655925,TRUE,FALSE,FALSE,FALSE
"9","5/17/2017","1","Pair 5 Large","1","5","Large","2017-05-17 11:55:00","2017-05-17 12:10:00",1.57978359661681,1.60205999132796,3.18184358794477,0.477121254719662,-0.185419483989681,-0.216984004003049,-0.406492410668235,-0.900208792718951,-3.45787461814101,-1.37816638204167,1.73399928653839,"79%","WNW",0.255272505103306,"6.8mph","30.03in",-0.204119982655925,FALSE,FALSE,FALSE,TRUE
"10","5/17/2017","1","Pair 5 Small","1","5","Small","2017-05-17 12:14:00","2017-05-17 12:29:00",1.3096301674259,0.698970004336019,2.00860017176192,0,-0.716274862544489,-0.433827747604377,-1.08689012929056,-1.97540424186335,-1.44565656732634,-2.23791113630898,1.73399928653839,"79%","WNW",0.255272505103306,"6.8mph","30.03in",-0.204119982655925,FALSE,FALSE,FALSE,FALSE
"11","5/17/2017","1","Pair 6 Large","1","6","Large","2017-05-17 10:55:00","2017-05-17 11:10:00",2.02665581387704,1.86923171973098,3.89588753360802,0.954242509439325,0.545616332913136,-0.368105083353558,0.177511249516651,NA,NA,NA,1.7481880270062,"76%","West",-1,"5.1mph","29.98in",2.16323593837009,TRUE,FALSE,FALSE,TRUE
"12","5/17/2017","1","Pair 6 Small","1","6","Small","2017-05-17 11:28:00","2017-05-17 11:43:00",1.47712125471966,0.954242509439325,2.43136376415899,0.477121254719662,0.177446313140647,-0.325131081719061,-0.135934120909763,-0.298923018721195,-2.77102394722063,-0.766471302107146,1.75204844781944,"74%","SSW",-1,"3.4mph","29.98in",2.09034624350567,TRUE,FALSE,FALSE,TRUE
"13","5/23/2017","2","Pair 1 Large","1","1","Large","2017-05-23 11:20:00","2017-05-23 11:35:00",1.53402610605614,1.77085201164214,3.30487811769828,1.63346845557959,-0.0332066625751431,-0.354507560286119,-0.368450545215619,-0.773178406359269,-2.09233211331791,-1.28393900576536,1.94250410616808,"36%","SW",0.544068044350276,"9.4mph","29.96in",2.9751444816831,FALSE,TRUE,TRUE,TRUE
"14","5/23/2017","2","Pair 1 Small","1","1","Small","2017-05-23 10:50:00",NA,1.47129171105894,1.43136376415899,2.90265547521793,1.54406804435028,0.118099312084612,-0.430260682542927,-0.392701386712282,-0.457796976904706,-1.48257303701612,-2.07078401953899,1.9304395947667,"38%","SW",0.431363764158987,"7.7mph","29.97in",2.9278193125545,FALSE,TRUE,TRUE,TRUE
"15","5/23/2017","2","Pair 2 Large","1","2","Large","2017-05-23 11:11:00","2017-05-23 11:26:00",1.47712125471966,1.36172783601759,2.83884909073726,1.46239799789896,-0.255272505068562,-0.193820026016113,-0.449092531065132,NA,NA,NA,1.94250410616808,"36%","SW",0.544068044350276,"9.4mph","29.96in",2.9751444816831,TRUE,TRUE,TRUE,TRUE
"16","5/23/2017","2","Pair 2 Small","1","2","Small","2017-05-23 10:32:00","2017-05-23 10:47:00",1.36172783601759,0.903089986991944,2.26481782300954,0.698970004336019,0.187990482336609,-0.250263684430939,-0.0526479815504756,-0.15177761163092,-1.79533748825178,-0.526706813985101,1.93500315145365,"37%","SSW",0.255272505103306,"6mph","29.97in",2.91149052901838,TRUE,TRUE,TRUE,FALSE
"17","5/23/2017","2","Pair 3 Large","1","3","Large","2017-05-23 11:06:00","2017-05-23 11:21:00",1.89209460269048,1.64345267648619,3.53554727917667,1.27875360095283,-0.149762320243408,-0.283715733172668,-0.479461883659259,-0.789095082891515,-1.49458216451313,-1.47495299215234,1.93751789201735,"35%","West",0.431363764158987,"7.7mph","29.97in",2.96112434346939,FALSE,FALSE,TRUE,FALSE
"18","5/23/2017","2","Pair 3 Small","1","3","Small","2017-05-23 10:39:00","2017-05-23 11:54:00",1.44715803134222,0.954242509439325,2.40140054078154,0.602059991327962,-0.477121254684919,-0.21838821750685,-0.638691975017,-1.81157500580111,-0.940598668172692,-1.57615299946027,1.9304395947667,"38%","SW",0.431363764158987,"7.7mph","29.97in",2.9278193125545,FALSE,FALSE,TRUE,FALSE
"19","5/23/2017","2","Pair 4 Large","2","4","Large","2017-05-23 12:01:00","2017-05-23 12:16:00",1.65321251377534,1.60205999132796,3.25527250510331,1.7160033436348,-0.051152522432181,-0.166656166573081,-0.295611134845061,-0.34964524999473,-1.36546769384136,-1.39903955547094,1.79239168949825,"70%","NW",-1,"1.7mph","30.01in",-0.204119982655925,TRUE,FALSE,FALSE,TRUE
"20","5/23/2017","2","Pair 4 Small","1","4","Small","2017-05-23 11:35:00","2017-05-23 11:50:00",1.69897000433602,0.903089986991944,2.60205999132796,1.41497334797082,-0.0720026613293708,-0.224483849098379,-0.314556848184696,-1.09400851253529,-1.61529761029432,-1.82812848580604,1.95712819767681,"29%","WSW",0.544068044350276,"11.9mph","29.97in",3.00135505408497,TRUE,FALSE,TRUE,FALSE
"21","5/23/2017","2","Pair 5 Large","2","5","Large","2017-05-23 10:57:00","2017-05-23 11:12:00",1.38381536598043,1.69897000433602,3.08278537031645,0.903089986991944,-0.228943566364607,-0.350178536775435,-0.574653750025842,-2.61775498041038,-1.90923069084551,-2.11642714061587,1.93751789201735,"35%","West",0.431363764158987,"7.7mph","29.97in",2.96112434346939,FALSE,FALSE,TRUE,FALSE
"22","5/23/2017","2","Pair 5 Small","1","5","Small","2017-05-23 10:34:00","2017-05-23 10:49:00",1.56820172406699,0.903089986991944,2.47129171105894,1.23044892137827,-0.380211241718555,-0.204954629578875,-0.579792041339876,-1.12639328601124,-1.39772074531801,-1.34450173726862,1.93500315145365,"37%","SSW",0.255272505103306,"6mph","29.97in",2.91149052901838,FALSE,FALSE,TRUE,FALSE
"23","5/23/2017","2","Pair 6 Large","2","6","Large","2017-05-23 11:21:00","2017-05-23 11:36:00",1.60422605308447,1.17609125905568,2.78031731214015,1.44715803134222,-0.338818556547064,-0.2506038346353,-0.636570842451947,-1.51738443469721,-1.34006604838721,-2.41525086080174,1.94250410616808,"36%","SW",0.544068044350276,"9.4mph","29.96in",2.9751444816831,TRUE,FALSE,TRUE,TRUE
"24","5/23/2017","2","Pair 6 Small","2","6","Small","2017-05-23 11:46:00","2017-05-23 12:01:00",1.48287358360875,1.04139268515823,2.52426626876698,1.60205999132796,-0.277548899829087,-0.335546071418842,-0.541987817663012,-0.949369063191619,-1.34329421092428,-1.32615574235373,1.96331551138611,"29%","SW",0.431363764158987,"9.4mph","29.97in",3.01151758077914,TRUE,FALSE,TRUE,TRUE
"25","5/25/2017","2","Pair 1 Large","1","1","Large","2017-05-25 10:45:00","2017-05-25 11:00:00",1.62531245096167,1.77085201164214,3.39616446260382,0.778151250383644,-0.0332066625751431,-0.354507560286119,-0.368450545215619,-0.773178406359269,-2.09233211331791,-1.28393900576536,1.79098847508882,"65%","WNW",0.785329835010767,"10.2mph","29.9in",2.49048521627764,FALSE,TRUE,FALSE,TRUE
"26","5/25/2017","2","Pair 1 Small","1","1","Small","2017-05-25 10:29:00","2017-05-25 10:44:00",1.2148438480477,1.20411998265592,2.41896383070362,0,0.118099312084612,-0.430260682542927,-0.392701386712282,-0.457796976904706,-1.48257303701612,-2.07078401953899,1.79028516403324,"66%","WNW",0.785329835010767,"11.9mph","29.89in",2.47439839638419,FALSE,TRUE,FALSE,FALSE
"27","5/25/2017","2","Pair 2 Large","1","2","Large","2017-05-25 10:55:00","2017-05-25 11:10:00",1.55630250076729,1.36172783601759,2.91803033678488,0.301029995663981,-0.255272505068562,-0.193820026016113,-0.449092531065132,NA,NA,NA,1.78887511577542,"64%","West",0.89209460269048,"12.8mph","29.9in",2.48872693662131,TRUE,TRUE,FALSE,FALSE
"28","5/25/2017","2","Pair 2 Small","1","2","Small","2017-05-25 10:33:00","2017-05-25 10:48:00",1.39794000867204,0.954242509439325,2.35218251811136,0,0.187990482336609,-0.250263684430939,-0.0526479815504756,-0.15177761163092,-1.79533748825178,-0.526706813985101,1.79028516403324,"66%","WNW",0.785329835010767,"11.9mph","29.89in",2.47439839638419,TRUE,TRUE,FALSE,FALSE
"29","5/25/2017","2","Pair 3 Large","1","3","Large","2017-05-25 10:57:00","2017-05-25 11:12:00",1.81690383937566,1.65321251377534,3.470116353151,0.477121254719662,-0.149762320243408,-0.283715733172668,-0.479461883659259,-0.789095082891515,-1.49458216451313,-1.47495299215234,1.78887511577542,"64%","West",0.89209460269048,"12.8mph","29.9in",2.48872693662131,FALSE,FALSE,FALSE,FALSE
"30","5/25/2017","2","Pair 3 Small","1","3","Small","2017-05-25 10:33:00","2017-05-25 10:48:00",1.3384564936046,0.954242509439325,2.29269900304393,0,-0.477121254684919,-0.21838821750685,-0.638691975017,-1.81157500580111,-0.940598668172692,-1.57615299946027,1.79028516403324,"66%","WNW",0.785329835010767,"11.9mph","29.89in",2.47439839638419,FALSE,FALSE,FALSE,FALSE
"31","5/25/2017","2","Pair 4 Large","2","4","Large","2017-05-25 11:21:00","2017-05-25 11:36:00",1.86923171973098,1.57978359661681,3.44901531634779,0.602059991327962,-0.051152522432181,-0.166656166573081,-0.295611134845061,-0.34964524999473,-1.36546769384136,-1.39903955547094,1.78887511577542,"64%","WNW",0.89209460269048,"14.5mph","29.9in",2.5127177406436,TRUE,FALSE,FALSE,TRUE
"32","5/25/2017","2","Pair 4 Small","1","4","Small","2017-05-25 11:44:00","2017-05-25 11:59:00",1.75281643118827,0.954242509439325,2.7070589406276,0.778151250383644,-0.0720026613293708,-0.224483849098379,-0.314556848184696,-1.09400851253529,-1.61529761029432,-1.82812848580604,1.7481880270062,"85%","West",0.716003343634799,"11.9mph","29.89in",-0.204119982655925,TRUE,FALSE,FALSE,TRUE
"33","5/25/2017","2","Pair 5 Large","2","5","Large","2017-05-25 10:55:00","2017-05-25 11:10:00",1.42488163663107,1.65321251377534,3.07809415040641,0.698970004336019,-0.228943566364607,-0.350178536775435,-0.574653750025842,-2.61775498041038,-1.90923069084551,-2.11642714061587,1.78887511577542,"64%","West",0.89209460269048,"12.8mph","29.9in",2.48872693662131,FALSE,FALSE,FALSE,TRUE
"34","5/25/2017","2","Pair 5 Small","1","5","Small","2017-05-25 10:33:00","2017-05-25 10:48:00",1.50514997831991,0.845098040014257,2.35024801833416,0.477121254719662,-0.380211241718555,-0.204954629578875,-0.579792041339876,-1.12639328601124,-1.39772074531801,-1.34450173726862,1.79028516403324,"66%","WNW",0.785329835010767,"11.9mph","29.89in",2.47439839638419,FALSE,FALSE,FALSE,FALSE
"35","5/25/2017","2","Pair 6 Large","2","6","Large","2017-05-25 11:15:00","2017-05-25 11:30:00",1.68484536164441,1.17609125905568,2.86093662070009,0.698970004336019,-0.338818556547064,-0.2506038346353,-0.636570842451947,-1.51738443469721,-1.34006604838721,-2.41525086080174,1.78887511577542,"64%","WNW",0.89209460269048,"14.5mph","29.9in",2.5127177406436,TRUE,FALSE,FALSE,TRUE
"36","5/25/2017","2","Pair 6 Small","2","6","Small","2017-05-25 11:38:00","2017-05-25 11:53:00",1.57978359661681,1,2.57978359661681,0.778151250383644,-0.277548899829087,-0.335546071418842,-0.541987817663012,-0.949369063191619,-1.34329421092428,-1.32615574235373,1.7481880270062,"85%","West",0.716003343634799,"11.9mph","29.89in",-0.204119982655925,TRUE,FALSE,FALSE,TRUE
"37","5/30/2017","3","Pair 1 Large","1","1","Large","2017-05-30 10:33:00","2017-05-30 10:48:00",1.48855071650044,1.73239375982297,3.22094447632341,1.60205999132796,0.122670875152478,-0.276399868276168,-0.234445268982144,-0.151295165181532,-1.33201849859248,-1.05840069059716,1.8394780473742,"70%","SSW",0.544068044350276,"10.2mph","29.94in",2.8040542013505,FALSE,TRUE,TRUE,TRUE
"38","5/30/2017","3","Pair 1 Small","1","1","Small","2017-05-30 10:12:00","2017-05-30 10:27:00",1.08635983067475,1.20411998265592,2.29047981333067,1.04139268515823,0.167973368833501,-0.315590494568697,-0.215883175132456,0.151400710859917,-1.58767952428596,-0.790457686412142,1.82994669594164,"72%","South",0.431363764158987,"7.7mph","29.95in",2.74673147623262,FALSE,TRUE,FALSE,FALSE
"39","5/30/2017","3","Pair 2 Large","1","2","Large","2017-05-30 10:33:00","2017-05-30 10:48:00",1.67024585307412,1.50514997831991,3.17539583139403,1.69019608002851,0.104088597635179,-0.276701047461633,-0.180456064458131,0.0721263442209599,-1.98095008294722,-0.493130460372687,1.8394780473742,"70%","SSW",0.544068044350276,"10.2mph","29.94in",2.8040542013505,TRUE,TRUE,TRUE,TRUE
"40","5/30/2017","3","Pair 2 Small","1","2","Small","2017-05-30 10:12:00","2017-05-30 10:27:00",1.60422605308447,0.903089986991944,2.50731604007641,1.11394335230684,0.227243781503063,-0.382289235742901,-0.152710176740176,-0.0235282223735671,-2.11660353333247,-0.868554900683656,1.82994669594164,"72%","South",0.431363764158987,"7.7mph","29.95in",2.74673147623262,TRUE,TRUE,FALSE,FALSE
"41","5/30/2017","3","Pair 3 Large","1","3","Large","2017-05-30 10:10:00","2017-05-30 10:25:00",1.64345267648619,1.6232492903979,3.26670196688409,1.56820172406699,0.116026303455129,-0.364292026178529,-0.246883943779558,-1.57516371812663,-2.64587127339453,-1.94548104358211,1.82994669594164,"72%","South",0.431363764158987,"7.7mph","29.95in",2.74673147623262,FALSE,FALSE,FALSE,TRUE
